"covariates","numtrees","rule","papes","sds"
"All","100","simple",0.000107380250579834,0.000359767853628754
"All","100","harmless",0.00742633940910627,0.00357319417820784
"Offense","100","simple",-1.11022826671886e-16,0
"Offense","100","harmless",0.00828682540725522,0.00196081356097227
"Perpetrator","100","simple",1.10205024628441e-05,0.0005780508436788
"Perpetrator","100","harmless",0.00745817192216109,0.00369774957024331
"All","500","simple",0.000107380250579834,0.000359767853628754
"All","500","harmless",0.00742633940910627,0.00357319417820784
"Offense","500","simple",-1.11022826671886e-16,0
"Offense","500","harmless",0.00828682540725522,0.00196081356097227
"Perpetrator","500","simple",1.10205024628441e-05,0.0005780508436788
"Perpetrator","500","harmless",0.00745817192216109,0.00369774957024331
"All","1000","simple",0.000107380250579834,0.000359767853628754
"All","1000","harmless",0.00742633940910627,0.00357319417820784
"Offense","1000","simple",-1.11022826671886e-16,0
"Offense","1000","harmless",0.00828682540725522,0.00196081356097227
"Perpetrator","1000","simple",1.10205024628441e-05,0.0005780508436788
"Perpetrator","1000","harmless",0.00745817192216109,0.00369774957024331
