"StatenIsland","Bronx","Brooklyn","Manhattan","Queens","pape_metric","pape_metric_sd"
"cons","plan","plan","plan","plan",-0.000622125213694509,0.000984430869236886
"combo","plan","plan","plan","plan",-0.00146427972743349,0.00117230144343413
"plan","cons","plan","plan","plan",-0.00240806573388174,0.00177235766356332
"cons","cons","plan","plan","plan",-0.00301203842538351,0.00190350652309458
"combo","cons","plan","plan","plan",-0.00385419293912246,0.00206407462572698
"plan","combo","plan","plan","plan",-0.0024313328362012,0.00217468648885525
"cons","combo","plan","plan","plan",-0.00303530552770294,0.00233307247204553
"combo","combo","plan","plan","plan",-0.00387746004144191,0.00232836760386761
"plan","plan","cons","plan","plan",-0.00270058680108899,0.00188821416146922
"cons","plan","cons","plan","plan",-0.0033045594925908,0.00198529908592453
"combo","plan","cons","plan","plan",-0.00414671400632975,0.0021516705262891
"plan","cons","cons","plan","plan",-0.005090500012778,0.00208365647340196
"cons","cons","cons","plan","plan",-0.00569447270427977,0.00205695059409879
"combo","cons","cons","plan","plan",-0.00653662721801872,0.00226962547104735
"plan","combo","cons","plan","plan",-0.00511376711509743,0.0026573091733816
"cons","combo","cons","plan","plan",-0.00571773980659921,0.00268003618063014
"combo","combo","cons","plan","plan",-0.00655989432033815,0.00272832357383931
"plan","plan","combo","plan","plan",0.00132608551832911,0.00235310224482008
"cons","plan","combo","plan","plan",0.000722112826827338,0.00248922417044636
"combo","plan","combo","plan","plan",-0.000120041686911642,0.00245769307187229
"plan","cons","combo","plan","plan",-0.00106382769335986,0.00272855636935074
"cons","cons","combo","plan","plan",-0.00166780038486164,0.00275998702230557
"combo","cons","combo","plan","plan",-0.00250995489860059,0.00277370277196835
"plan","combo","combo","plan","plan",-0.00108709479567933,0.00256234316636397
"cons","combo","combo","plan","plan",-0.00169106748718107,0.00264007413606472
"combo","combo","combo","plan","plan",-0.00253322200092005,0.00252723004684276
"plan","plan","plan","cons","plan",0.00246668459939716,0.00171321578925426
"cons","plan","plan","cons","plan",0.00186271190789534,0.00186153387032875
"combo","plan","plan","cons","plan",0.0010205573941564,0.00202275806710713
"plan","cons","plan","cons","plan",7.67713877081384e-05,0.00207671195722559
"cons","cons","plan","cons","plan",-0.000527201303793638,0.00208717375163841
"combo","cons","plan","cons","plan",-0.00136935581753262,0.00228350970138717
"plan","combo","plan","cons","plan",5.35042853887168e-05,0.00260643954543371
"cons","combo","plan","cons","plan",-0.000550468406113102,0.00265875332804312
"combo","combo","plan","cons","plan",-0.00139262291985203,0.00269594011580349
"plan","plan","cons","cons","plan",-0.000215749679499101,0.00208653670493222
"cons","plan","cons","cons","plan",-0.000819722371000906,0.00207151429693399
"combo","plan","cons","cons","plan",-0.00166187688473984,0.00228046056427753
"plan","cons","cons","cons","plan",-0.00260566289118809,0.00183484603512026
"cons","cons","cons","cons","plan",-0.00320963558268992,0.00167855823264569
"combo","cons","cons","cons","plan",-0.00405179009642885,0.00198966506787971
"plan","combo","cons","cons","plan",-0.00262892999350753,0.00264180102011556
"cons","combo","cons","cons","plan",-0.00323290268500935,0.00258106389630416
"combo","combo","cons","cons","plan",-0.00407505719874827,0.00267284525189547
"plan","plan","combo","cons","plan",0.00381092263991902,0.00272308064725309
"cons","plan","combo","cons","plan",0.00320694994841721,0.00276329356529016
"combo","plan","combo","cons","plan",0.00236479543467828,0.00277504322533241
"plan","cons","combo","cons","plan",0.00142100942823002,0.00274951829773537
"cons","cons","combo","cons","plan",0.000817036736728238,0.00270071022002082
"combo","cons","combo","cons","plan",-2.51177770107424e-05,0.00275513878164953
"plan","combo","combo","cons","plan",0.00139774232591059,0.00275194811443971
"cons","combo","combo","cons","plan",0.000793769634408774,0.00274573918765906
"combo","combo","combo","cons","plan",-4.83848793301571e-05,0.00267899967564168
"plan","plan","plan","combo","plan",0.0012959596253643,0.00210230314160016
"cons","plan","plan","combo","plan",0.000691986933862528,0.00227396873740769
"combo","plan","plan","combo","plan",-0.000150167579876466,0.00227549657202795
"plan","cons","plan","combo","plan",-0.00109395358632467,0.0025865203701913
"cons","cons","plan","combo","plan",-0.00169792627782648,0.00263717740232882
"combo","cons","plan","combo","plan",-0.00254008079156544,0.00268207679254198
"plan","combo","plan","combo","plan",-0.00111722068864413,0.00255396342086886
"cons","combo","plan","combo","plan",-0.00172119338014591,0.00264938230918275
"combo","combo","plan","combo","plan",-0.00256334789388488,0.00256886345525919
"plan","plan","cons","combo","plan",-0.00138647465353194,0.00263210959404651
"cons","plan","cons","combo","plan",-0.00199044734503373,0.00266206541732897
"combo","plan","cons","combo","plan",-0.0028326018587727,0.00271599524519087
"plan","cons","cons","combo","plan",-0.00377638786522093,0.00261415576814731
"cons","cons","cons","combo","plan",-0.00438036055672273,0.0025506398133838
"combo","cons","cons","combo","plan",-0.0052225150704617,0.00265097751452445
"plan","combo","cons","combo","plan",-0.00379965496754036,0.00279250962691799
"cons","combo","cons","combo","plan",-0.00440362765904217,0.00277523756335299
"combo","combo","cons","combo","plan",-0.00524578217278111,0.0027504296791153
"plan","plan","combo","combo","plan",0.00264019766588614,0.00256804652526519
"cons","plan","combo","combo","plan",0.00203622497438438,0.00265264799439182
"combo","plan","combo","combo","plan",0.00119407046064544,0.00254604083619602
