"StatenIsland","Bronx","Brooklyn","Manhattan","Queens","pape_metric","pape_metric_sd"
"cons","plan","plan","plan","plan",-0.000601235495697559,0.000984430869236886
"combo","plan","plan","plan","plan",-0.00144612850127408,0.00117230144343413
"control","plan","plan","plan","plan",0.0038287938943189,0.000832286322097759
"plan","cons","plan","plan","plan",-0.00237836970762293,0.00177235766356332
"cons","cons","plan","plan","plan",-0.00297960520332045,0.00190350652309458
"combo","cons","plan","plan","plan",-0.00382449820889697,0.00206407462572698
"control","cons","plan","plan","plan",0.001450424186696,0.00189177533239105
"plan","combo","plan","plan","plan",-0.00241318784967989,0.00217468648885525
"cons","combo","plan","plan","plan",-0.00301442334537742,0.00233307247204553
"combo","combo","plan","plan","plan",-0.00385931635095394,0.00232836760386761
"control","combo","plan","plan","plan",0.00141560604463904,0.00227306479130296
"plan","control","plan","plan","plan",-0.00329375747311792,0.00149466972107799
"cons","control","plan","plan","plan",-0.00389499296881545,0.00171697507556587
"combo","control","plan","plan","plan",-0.00473988597439197,0.00183117174183245
"control","control","plan","plan","plan",0.000535036421201026,0.00160392702806072
"plan","plan","cons","plan","plan",-0.00266825485655588,0.00188821416146922
"cons","plan","cons","plan","plan",-0.00326949035225339,0.00198529908592453
"combo","plan","cons","plan","plan",-0.00411438335782994,0.0021516705262891
"control","plan","cons","plan","plan",0.00116053903776303,0.00198698160569606
"plan","cons","cons","plan","plan",-0.00504662456417878,0.00208365647340196
"cons","cons","cons","plan","plan",-0.0056478600598763,0.00205695059409879
"combo","cons","cons","plan","plan",-0.00649275306545284,0.00226962547104735
"control","cons","cons","plan","plan",-0.00121783066985987,0.00211414512900609
"plan","combo","cons","plan","plan",-0.00508144270623573,0.0026573091733816
"cons","combo","cons","plan","plan",-0.00568267820193325,0.00268003618063014
"combo","combo","cons","plan","plan",-0.0065275712075098,0.00272832357383931
"control","combo","cons","plan","plan",-0.00125264881191682,0.00268128278446871
"plan","control","cons","plan","plan",-0.00596201232967376,0.00213683604734565
"cons","control","cons","plan","plan",-0.00656324782537127,0.00216503352855894
"combo","control","cons","plan","plan",-0.00740814083094782,0.00231854345935391
"control","control","cons","plan","plan",-0.00213321843535483,0.0021436034465756
"plan","plan","combo","plan","plan",0.00134422892586823,0.00235310224482008
"cons","plan","combo","plan","plan",0.000742993430170691,0.00248922417044636
"combo","plan","combo","plan","plan",-0.0001018995754058,0.00245769307187229
"control","plan","combo","plan","plan",0.00517302282018715,0.00243307076682511
"plan","cons","combo","plan","plan",-0.00103414078175465,0.00272855636935074
"cons","cons","combo","plan","plan",-0.00163537627745219,0.00275998702230557
"combo","cons","combo","plan","plan",-0.00248026928302869,0.00277370277196835
"control","cons","combo","plan","plan",0.00279465311256426,0.00275190937134106
"plan","combo","combo","plan","plan",-0.00106895892381161,0.00256234316636397
"cons","combo","combo","plan","plan",-0.00167019441950916,0.00264007413606472
"combo","combo","combo","plan","plan",-0.00251508742508568,0.00252723004684276
"control","combo","combo","plan","plan",0.00275983497050729,0.00258719690583504
"plan","control","combo","plan","plan",-0.00194952854724964,0.00255691332435032
"cons","control","combo","plan","plan",-0.00255076404294719,0.0026348044879926
"combo","control","combo","plan","plan",-0.00339565704852368,0.00260503607551616
"control","control","combo","plan","plan",0.00187926534706928,0.00256257159727786
"plan","plan","control","plan","plan",-0.00275662413888343,0.00159232143865206
"cons","plan","control","plan","plan",-0.00335785963458097,0.001787354010863
"combo","plan","control","plan","plan",-0.00420275264015749,0.0018973193980243
"control","plan","control","plan","plan",0.00107216975543553,0.00167205491442519
"plan","cons","control","plan","plan",-0.00513499384650631,0.00210794147218042
"cons","cons","control","plan","plan",-0.00573622934220385,0.00214847056128512
"combo","cons","control","plan","plan",-0.00658112234778037,0.00229194082162153
"control","cons","control","plan","plan",-0.00130619995218736,0.00210925092593302
"plan","combo","control","plan","plan",-0.00516981198856327,0.00245589635110199
"cons","combo","control","plan","plan",-0.00577104748426082,0.00253689097697592
"combo","combo","control","plan","plan",-0.00661594048983734,0.00253256478060984
"control","combo","control","plan","plan",-0.00134101809424433,0.00245702037145955
"plan","control","control","plan","plan",-0.00605038161200133,0.00174485124239231
"cons","control","control","plan","plan",-0.00665161710769887,0.00185712002837289
"combo","control","control","plan","plan",-0.00749651011327539,0.00196318143271451
"control","control","control","plan","plan",-0.00222158771768238,0.00171785045684246
"plan","plan","plan","cons","plan",0.00249538526899445,0.00171321578925426
"cons","plan","plan","cons","plan",0.0018941497732969,0.00186153387032875
"combo","plan","plan","cons","plan",0.00104925676772037,0.00202275806710713
"control","plan","plan","cons","plan",0.00632417916331335,0.00184660771300248
"plan","cons","plan","cons","plan",0.000117015561371537,0.00207671195722559
"cons","cons","plan","cons","plan",-0.000484219934325997,0.00208717375163841
